"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa.mir.139",-3.07374945405416,5.53604022539141,-12.7995281271228,4.28512886885525e-32,1.94973363532914e-29,62.1132195985632
"hsa.mir.133b",-5.1521049983492,0.899328746083387,-11.6292170471528,1.96536268835446e-27,4.4712001160064e-25,51.5210779900874
"hsa.mir.383",-4.47557111467304,-0.428226845620057,-11.2737743751352,4.61867022924289e-26,7.00498318101838e-24,48.4165794159254
"hsa.mir.133a.2",-4.6488809859628,2.87967215610472,-11.2271367960927,6.96205724459884e-26,7.91934011573118e-24,47.9889641128874
"hsa.mir.133a.1",-4.70205067620488,3.00597283735494,-11.1656353345594,1.19440000899016e-25,1.08690400818105e-23,47.4545544957538
"hsa.mir.195",-2.60444016277398,4.45175373546979,-10.9839878355709,5.82629671414837e-25,4.41827500822918e-23,45.8935376712191
"hsa.mir.1.2",-4.73767249532407,3.5313408525546,-10.5341157109528,2.77069685246201e-23,1.80095295410031e-21,42.0724311163725
"hsa.mir.1.1",-4.67919198272353,3.43619501693998,-10.4228312349944,7.09990815207257e-23,4.03807276149127e-21,41.145871217687
"hsa.mir.490",-5.23115150024914,1.20603669938487,-9.92397491311683,4.48037898147192e-21,2.26508048507747e-19,37.0829559681281
"hsa.mir.21",1.57777084434828,17.9109655942981,9.60988239839027,5.71244820997665e-20,2.59916393553937e-18,34.404680214237
"hsa.mir.3199.2",-2.59542178700082,-0.576454446359844,-9.46285802190923,1.84753522848328e-19,7.64207753599903e-18,33.4866026143894
"hsa.mir.18a",2.5410741400371,4.56368902991702,9.07423136006738,3.88625887713852e-18,1.47353982424835e-16,30.4985914607551
"hsa.mir.204",-3.70694165869324,1.08650900241348,-9.04023131533695,5.05289056281404e-18,1.76851169698491e-16,30.1917863811428
"hsa.mir.183",2.95344397932526,12.910444697036,8.88932740759337,1.60733077505793e-17,5.22382501893826e-16,28.954175790647
"hsa.mir.93",1.94170083811804,12.7701823937357,8.70635564938653,6.42426347814414e-17,1.94869325503706e-15,27.5758329113012
"hsa.let.7c",-3.19569634147243,8.97000971734196,-8.43128019629405,4.96927867895285e-16,1.41313862432722e-14,25.5463573960032
"hsa.mir.1247",-4.27033480654948,4.07701014045026,-8.3684609672438,7.87810633437883e-16,2.10855198949551e-14,25.1669831883542
"hsa.mir.210",4.51607801496785,8.83320273034752,8.3285524192043,1.05443291251588e-15,2.66537208441515e-14,24.9465233620936
"hsa.mir.96",3.28684471081206,4.47137084122063,8.09042540667349,5.88200124243012e-15,1.40858450805563e-13,23.3518891059792
"hsa.mir.5683",-3.22808881232021,0.176178916961805,-7.99934628670508,1.12454589447312e-14,2.47019897612932e-13,22.6666086189123
"hsa.mir.1307",1.69646789807897,10.712198432044,7.99740873307373,1.14009183513661e-14,2.47019897612932e-13,22.5194943275593
"hsa.mir.17",1.5817519387207,9.92322069371834,7.87177236883026,2.76283988518598e-14,5.71405521708918e-13,21.6651893499079
"hsa.mir.6892",-2.0233482059747,0.50992730553953,-7.74181423849681,6.82898073266218e-14,1.2946609305672e-12,20.9280362771315
"hsa.mir.28",-1.28211090294436,12.1282255901418,-7.74945756943989,6.47699743086375e-14,1.28131905697522e-12,20.7321063973203
"hsa.mir.590",1.48526232410556,4.31373287840379,7.69017462353395,9.75423967323987e-14,1.77527162052966e-12,20.5648243610843
"hsa.mir.145",-2.49568248819889,10.8909646081756,-7.55587762569476,2.44518670366911e-13,4.27907673142094e-12,19.4308754429983
"hsa.mir.130b",1.8848770177019,5.40458098998881,7.4419066506636,5.28382914512578e-13,8.29014572769735e-12,18.8865612474394
"hsa.mir.4786",-2.0063640417097,-0.748368142011425,-7.42858235072928,5.77862733100878e-13,8.76425145202999e-12,18.8822390559769
"hsa.mir.30a",-1.83612697531705,13.2497508192339,-7.47785282089505,4.14774283471744e-13,6.98971477702383e-12,18.8752566054638
"hsa.mir.374b",-1.217437211808,6.13599828523765,-7.45098187357139,4.97096416017927e-13,8.07781676029132e-12,18.8573879563433
"hsa.mir.218.2",-2.0433767136038,4.01317636553334,-7.42323731376035,5.98970167497618e-13,8.79133632940052e-12,18.7035157650472
"hsa.mir.99a",-3.05175811603664,7.01061789856202,-7.34020859383378,1.04317220506935e-12,1.48326047908298e-11,18.0777088636612
"hsa.mir.125b.1",-2.33442480086275,7.19188418964591,-7.3294740678575,1.12036637040383e-12,1.54474757131437e-11,18.0176126617556
"hsa.mir.19a",1.82586579873927,4.98905335094256,7.29545807849671,1.40405016579587e-12,1.82526521553463e-11,17.9462586261773
"hsa.mir.26a.2",-1.05876481574195,9.71821425236786,-7.31184084973694,1.25955064524405e-12,1.68557512819425e-11,17.8738049010062
"hsa.mir.218.1",-2.00188025995363,4.02582724638803,-7.27651862229076,1.591518287184e-12,2.01150227963533e-11,17.7485658976779
