"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa.mir.21",5.85230746233155,17.4121745519131,29.6203592965824,2.1167247601116e-109,9.31358894449103e-107,238.297473240194
"hsa.mir.328",-5.54085371893256,3.8994777036635,-23.2896876357489,2.97315226758481e-80,6.54093498868659e-78,171.847260536521
"hsa.mir.197",-4.76786957103805,7.91981786742379,-21.5287613354556,5.71269706523082e-72,8.37862236233854e-70,153.06328290065
"hsa.let.7d",-3.45172618531709,9.19571805831168,-19.0987054917858,1.48892208807378e-60,1.63781429688116e-58,127.018318502126
"hsa.mir.139",-5.41686033095298,4.68271528394863,-18.6466518579701,1.91908372361142e-58,1.68879367677805e-56,122.169716266698
"hsa.mir.101.2",5.0239798128187,11.4845546405928,18.4240959162351,2.08650087183226e-57,1.53010063934366e-55,119.710586118308
"hsa.mir.101.1",4.97049259534646,11.4457186548718,18.0994053678584,6.72721913472717e-56,4.22853774182851e-54,116.278340943005
"hsa.mir.1306",-4.29351513494582,2.7407906114064,-18.0499095051766,1.14126535518612e-55,6.27695945352365e-54,115.766998197391
"hsa.mir.766",-4.48627584578997,2.56058946852971,-17.7009139155777,4.70701618236496e-54,2.30120791137842e-52,112.09000024213
"hsa.mir.1976",-4.39072779449142,2.88097939938684,-16.1612456707103,5.20677482989441e-47,2.29098092515354e-45,96.0597495053845
"hsa.mir.125a",-4.00132811523892,8.15658065297808,-15.9492782520757,4.7146572816477e-46,1.88586291265908e-44,93.9269980015762
"hsa.mir.423",-3.1068565557047,7.01680934728099,-15.9175680909555,6.55071473735783e-46,2.4019287370312e-44,93.5913286533258
"hsa.mir.486.2",-6.06887269881721,4.6721139542112,-15.5103324986691,4.39670550139092e-44,1.38768059174033e-42,89.4283106858296
"hsa.mir.6511b.1",-5.04697301581674,-0.521760807580979,-15.5099212529889,4.41534733735559e-44,1.38768059174033e-42,89.2677620326803
"hsa.let.7b",-3.69523129632119,13.1682201374777,-15.4770979143135,6.18834179675181e-44,1.8152469270472e-42,89.0987865529605
"hsa.mir.374a",8.05577030563066,9.56959219208722,15.2947364474946,4.02078475537152e-43,1.10571580772717e-41,86.949924432417
"hsa.mir.484",-2.92881334838967,5.60821530089361,-15.1018143118643,2.88858425022821e-42,7.47633570647302e-41,85.2726582699254
"hsa.mir.486.1",-5.97755713468863,4.66161871690255,-14.8611244582074,3.34142435147911e-41,8.16792619250448e-40,82.8587081469242
"hsa.mir.6511b.2",-4.88741944214826,-0.476995886764959,-14.7525832520147,1.00337316338413e-40,2.3236010099422e-39,81.6454154469027
"hsa.mir.19b.2",6.37173907685306,6.46387231766652,14.2561905095041,1.47568489424476e-38,3.24650676733847e-37,76.6276559654062
"hsa.mir.2355",4.1587384254229,4.96874212233956,13.9160355372558,4.34302776930406e-37,9.0996772309228e-36,73.3058194215342
"hsa.mir.98",4.22032845762061,5.52924179579006,13.846213379479,8.66018780135542e-37,1.73203756027108e-35,72.628369020726
"hsa.mir.149",-4.53569523426278,3.31427658537416,-13.7992227592738,1.37690193482496e-36,2.63407326662167e-35,72.3346434082048
"hsa.mir.19b.1",5.9732566417257,6.70633031762402,13.6807666714569,4.41858059274479e-36,8.10073108669878e-35,71.0284945557024
"hsa.mir.542",5.57279530326371,7.03651906156687,13.6577883028014,5.53733163624807e-36,9.74570367979661e-35,70.8070851468754
"hsa.mir.574",-3.83302642883838,5.69934815187895,-13.5592148893063,1.45543116293785e-35,2.46303735266406e-34,70.0047806429389
"hsa.mir.589",-2.66923175973863,5.72571040457945,-13.4183368465823,5.76162418436072e-35,9.38931348562487e-34,68.6438740065972
"hsa.mir.182",4.42133153828598,13.6915125005953,13.3784912885908,8.49308703811758e-35,1.33462796313276e-33,68.2595548085756
"hsa.mir.374b",4.27328359253995,5.99915161688646,13.2638233019577,2.58708244441511e-34,3.92522853635397e-33,67.0324757249353
"hsa.mir.889",4.42409407074192,3.75901679664389,13.2238281827755,3.81156227716839e-34,5.59029133984698e-33,66.6506708509209
"hsa.mir.324",-2.73351864587244,4.9140119685919,-13.1916963122935,5.20169161958401e-34,7.38304616973214e-33,66.4678568434744
"hsa.mir.141",4.5477226626405,10.6583563086052,13.1158148626329,1.08260275929324e-33,1.4885787940282e-32,65.7392740078031
